":START_ID",":END_ID"
"9fa589bd-11e3-4c3f-b5e2-7d73d678dc32","06116eed-b5ec-41bd-83e3-38f56b245a65"
"06116eed-b5ec-41bd-83e3-38f56b245a65","aa23bbea-c4ac-419a-b26f-ef2bc25af160"
"aa23bbea-c4ac-419a-b26f-ef2bc25af160","4fbca0b8-5ed9-445d-882a-ff9e0e1ea76f"
"4fbca0b8-5ed9-445d-882a-ff9e0e1ea76f","bff5f300-a5a8-4c86-bd32-fcfbc9391759"
"bff5f300-a5a8-4c86-bd32-fcfbc9391759","e562085c-e089-4dbc-9c54-06978a78642b"
"e562085c-e089-4dbc-9c54-06978a78642b","1bbf6737-fd76-4e78-a629-74f225bbc32c"
"1bbf6737-fd76-4e78-a629-74f225bbc32c","eb813cb5-ac91-4b2d-a5cd-e4f03a0c6fda"
"eb813cb5-ac91-4b2d-a5cd-e4f03a0c6fda","6413bd0a-71a5-4b3c-9e38-bc11e09128b8"
"6413bd0a-71a5-4b3c-9e38-bc11e09128b8","1432ff94-1880-4e3c-9b28-81b744cc8f4a"
"1432ff94-1880-4e3c-9b28-81b744cc8f4a","eb906fd9-2740-4ad5-aa23-9230999fca31"
"eb906fd9-2740-4ad5-aa23-9230999fca31","020b9fa9-e9b7-47b5-b0ca-a65bb9c6727b"
"020b9fa9-e9b7-47b5-b0ca-a65bb9c6727b","22eed8bb-fbcc-4d74-9515-659be8e591e5"
"22eed8bb-fbcc-4d74-9515-659be8e591e5","f5f0a733-1467-466f-8bf0-87e58a2c7fa2"
"f5f0a733-1467-466f-8bf0-87e58a2c7fa2","2c223d74-6927-41e7-bcc5-58cb872cf922"
"2c223d74-6927-41e7-bcc5-58cb872cf922","a71421cd-5fb7-4a34-9f25-2275d42eac68"
"834e0583-1866-447e-b9f3-ef47d5395bfa","05b6bb36-98c6-49a7-ad8b-4a7d795150d4"
"05b6bb36-98c6-49a7-ad8b-4a7d795150d4","f6add11b-a600-4dbb-8a89-beadbc43b0f5"
"f6add11b-a600-4dbb-8a89-beadbc43b0f5","15dd2438-4117-47bb-93a5-6feb260625cf"
"15dd2438-4117-47bb-93a5-6feb260625cf","72ef3a44-364f-4e4d-b8c8-d3f4ec95ac21"
"72ef3a44-364f-4e4d-b8c8-d3f4ec95ac21","39d669a1-6403-4505-911c-92a269204a5e"
